cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
A.04171;19/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΝΟΥΣΗ ΚΑΙ ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΗ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.00562;19/9/2019;Ενημέρωση;Ελλειπε ο υπεύθυνος;ΤΗΛ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ ΜΕΤΑ ΤΙΣ 3 ;0;
A.03965;19/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΔΕΝ ΕΧΕΙ ΤΗΛ. ΕΠΙΚΟΙΝΩΝΙΑΣ.;0;
A.03931;19/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΖΑΦΕΙΡΑΤΟ ΚΑΙ ΑΠΟ ΑΛΛΕΣ ΕΤΑΙΡΕΙΕΣ,;0;
A.04124;19/9/2019;Ενημέρωση;;ΓΝΩΡΙΖΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΑΛΛΑ ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ Ο ΙΔΙΟΣ.;1;-1
A.04518;19/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΨΩΝΙΖΕΙ ΑΠΟ ΖΑΦΕΙΡΑΤΟ ΚΑΙ ΘΕΛΕΙ ΚΑΤΑΛΟΓΟ ΜΕ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ;1;0
A.00318;20/9/2019;Ενημέρωση;;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ΑΝ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;-1
A.04238;20/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΚΩΤΣΗ ΚΑΙ ΕΝΗΜΕΡΩΝΕΤΑΙ ΑΠΟ ΕΚΕΙΝΟΝ;1;-1
A.04231;20/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΣΗΜΕΡΑ bLEND IT CORN ΣΤΟ ΠΥΡΡΟ ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΟΣ ΓΙΑ ΤΑ ΠΡΙΟΝΤΑ .;1;1
A.04234;20/9/2019;Ενημέρωση;Άλλο;ΤΗΛ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ ΕΩΣ 9πμ.;0;
A.04236;20/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΔΙΝΕΙ  ΠΑΡΑΓΓΕΛΙΑ ΣΕ ΟΤΙ ΧΡΕΙΑΖΕΤΑΙ ΣΤΟΝ ΜΑΝΟ. ΠΡΟΣ ΤΟ ΠΑΡΩΝ ΔΕΝ ΕΝΔΙΑΦΕΡΤΑΙ ΓΙΑ ΝΕΑ ΠΡΟΙΟΝΤΑ,;1;-1
